aluno_id,curso,semestre,situacao,cr,renda_familiar,modalidade
222,Engenharia,2023.1,Ativo,9.39,Até 1 SM,EAD
223,Medicina,2022.2,Formado,5.46,Até 1 SM,Presencial
224,TI,2023.2,Ativo,9.56,Acima 5 SM,Presencial
225,Engenharia,2022.1,Evadido,4.36,3-5 SM,Presencial
226,Engenharia,2022.1,Ativo,9.61,Acima 5 SM,Presencial
227,Direito,2023.2,Formado,6.11,3-5 SM,Presencial
228,Direito,2022.2,Trancado,4.61,3-5 SM,Presencial
229,Medicina,2023.1,Formado,6.92,3-5 SM,EAD
230,TI,2022.1,Ativo,5.54,1-3 SM,Presencial
231,Direito,2024.1,Formado,5.71,Acima 5 SM,EAD
232,Engenharia,2024.1,Formado,5.84,3-5 SM,Presencial
233,TI,2023.2,Ativo,8.82,Até 1 SM,Presencial
234,TI,2022.2,Formado,7.23,1-3 SM,Presencial
235,Engenharia,2022.1,Ativo,5.87,Acima 5 SM,Presencial
236,Direito,2022.2,Ativo,7.66,3-5 SM,Presencial
237,Engenharia,2022.1,Ativo,8.3,Até 1 SM,Presencial
238,TI,2023.2,Ativo,5.64,Acima 5 SM,Presencial
239,Pedagogia,2023.2,Ativo,6.48,Acima 5 SM,Presencial
240,Pedagogia,2024.1,Evadido,4.73,1-3 SM,Presencial
241,Medicina,2022.2,Ativo,5.09,Acima 5 SM,EAD
242,Engenharia,2024.1,Evadido,8.09,1-3 SM,Presencial
243,Engenharia,2022.2,Ativo,5.09,3-5 SM,Presencial
244,Medicina,2024.1,Ativo,7.15,1-3 SM,Presencial
245,Medicina,2023.1,Ativo,8.25,Até 1 SM,Presencial
246,Medicina,2023.1,Evadido,4.64,1-3 SM,Presencial
247,TI,2023.1,Ativo,7.4,Até 1 SM,Presencial
248,Engenharia,2023.1,Evadido,5.54,1-3 SM,Presencial
249,TI,2022.1,Formado,9.78,Acima 5 SM,Presencial
250,Medicina,2023.1,Evadido,6.9,3-5 SM,Presencial
251,Engenharia,2023.2,Ativo,8.84,Até 1 SM,Presencial
252,TI,2023.2,Ativo,7.3,1-3 SM,Presencial
253,TI,2022.1,Formado,4.26,1-3 SM,Presencial
254,Medicina,2023.1,Ativo,7.8,1-3 SM,Presencial
255,Engenharia,2023.1,Formado,9.71,Acima 5 SM,EAD
256,Medicina,2023.1,Ativo,7.61,Acima 5 SM,Presencial
257,Engenharia,2024.1,Formado,8.92,Até 1 SM,Presencial
258,Pedagogia,2022.2,Evadido,9.31,Até 1 SM,Presencial
259,Direito,2024.1,Trancado,5.37,Acima 5 SM,EAD
260,Direito,2022.2,Ativo,5.27,Até 1 SM,Presencial
261,Direito,2023.1,Evadido,7.67,3-5 SM,Presencial
262,Medicina,2023.1,Ativo,6.47,3-5 SM,Presencial
263,Pedagogia,2024.1,Ativo,9.04,Acima 5 SM,Presencial
264,Engenharia,2024.1,Evadido,9.4,Até 1 SM,Presencial
265,TI,2022.2,Formado,6.12,1-3 SM,Presencial
266,Engenharia,2023.2,Trancado,5.42,3-5 SM,EAD
267,TI,2022.2,Evadido,8.68,Acima 5 SM,Presencial
268,Engenharia,2024.1,Ativo,5.65,Até 1 SM,EAD
269,Pedagogia,2024.1,Ativo,8.94,Acima 5 SM,EAD
270,TI,2022.1,Evadido,6.54,1-3 SM,Presencial
271,Medicina,2024.1,Ativo,8.01,3-5 SM,Presencial
272,Engenharia,2022.1,Ativo,4.57,Acima 5 SM,Presencial
273,Engenharia,2023.2,Ativo,7.74,Acima 5 SM,Presencial
274,TI,2022.2,Ativo,6.71,Acima 5 SM,Presencial
275,Medicina,2022.2,Ativo,7.52,1-3 SM,EAD
276,Medicina,2022.1,Ativo,5.01,Acima 5 SM,EAD
277,Pedagogia,2022.2,Ativo,8.42,1-3 SM,Presencial
278,Medicina,2024.1,Ativo,9.18,1-3 SM,Presencial
279,Medicina,2023.1,Trancado,5.3,1-3 SM,EAD
280,Medicina,2022.1,Ativo,4.57,3-5 SM,EAD
281,Direito,2022.2,Ativo,4.14,3-5 SM,EAD
282,Pedagogia,2022.1,Evadido,7.85,Acima 5 SM,Presencial
283,Engenharia,2022.1,Ativo,7.64,Acima 5 SM,Presencial
284,TI,2023.1,Formado,7.28,3-5 SM,Presencial
285,Engenharia,2024.1,Evadido,5.39,Até 1 SM,Presencial
286,Pedagogia,2022.1,Ativo,6.35,3-5 SM,Presencial
287,TI,2022.2,Ativo,7.57,1-3 SM,Presencial
288,Pedagogia,2023.2,Formado,6.98,3-5 SM,Presencial
289,Medicina,2022.1,Formado,9.93,1-3 SM,Presencial
290,TI,2022.1,Ativo,4.82,Acima 5 SM,Presencial
291,Medicina,2023.1,Evadido,8.17,Até 1 SM,Presencial
292,Engenharia,2024.1,Ativo,6.43,Acima 5 SM,Presencial
293,Engenharia,2023.2,Trancado,6.57,1-3 SM,Presencial
294,TI,2022.2,Ativo,8.31,1-3 SM,Presencial
295,TI,2023.2,Formado,8.15,1-3 SM,EAD
296,Pedagogia,2022.2,Evadido,9.95,Até 1 SM,Presencial
297,Pedagogia,2024.1,Evadido,4.77,3-5 SM,Presencial
298,Medicina,2022.2,Ativo,4.62,Acima 5 SM,Presencial
299,TI,2023.1,Ativo,8.35,Acima 5 SM,EAD
300,Engenharia,2023.1,Ativo,7.47,3-5 SM,Presencial
301,Pedagogia,2023.1,Ativo,5.64,Acima 5 SM,Presencial
302,Pedagogia,2023.1,Ativo,4.48,Até 1 SM,Presencial
303,Engenharia,2023.2,Evadido,4.51,Acima 5 SM,Presencial
304,Pedagogia,2024.1,Ativo,9.37,1-3 SM,Presencial
305,Medicina,2022.2,Ativo,5.15,3-5 SM,Presencial
306,TI,2022.2,Trancado,5.94,Até 1 SM,EAD
307,Engenharia,2023.1,Formado,5.36,3-5 SM,Presencial
308,TI,2023.1,Formado,6.13,Até 1 SM,EAD
309,Pedagogia,2022.1,Trancado,4.42,1-3 SM,EAD
310,Pedagogia,2024.1,Ativo,7.11,3-5 SM,Presencial
311,Engenharia,2023.2,Ativo,4.41,Acima 5 SM,EAD
312,Medicina,2022.2,Evadido,8.8,Até 1 SM,Presencial
313,Direito,2022.1,Evadido,5.4,3-5 SM,Presencial
314,Engenharia,2022.1,Ativo,7.24,Acima 5 SM,Presencial
315,Direito,2022.2,Formado,9.28,3-5 SM,Presencial
316,Direito,2023.2,Ativo,7.91,3-5 SM,Presencial
317,Medicina,2022.1,Ativo,7.2,3-5 SM,Presencial
318,Direito,2022.1,Ativo,5.95,Até 1 SM,Presencial
319,Direito,2024.1,Ativo,6.0,Acima 5 SM,Presencial
320,Medicina,2023.2,Ativo,8.02,1-3 SM,Presencial
321,Direito,2022.1,Ativo,9.96,Até 1 SM,Presencial
322,Direito,2023.2,Formado,7.97,Até 1 SM,Presencial
323,Direito,2022.2,Ativo,7.35,Até 1 SM,Presencial
324,Engenharia,2023.1,Ativo,8.38,1-3 SM,EAD
325,Engenharia,2022.1,Formado,6.79,Acima 5 SM,Presencial
326,Engenharia,2024.1,Trancado,4.36,Acima 5 SM,EAD
327,Medicina,2022.2,Formado,7.37,Acima 5 SM,Presencial
328,Pedagogia,2023.2,Formado,9.75,3-5 SM,Presencial
329,Direito,2022.2,Evadido,5.05,3-5 SM,Presencial
330,Direito,2022.1,Ativo,8.14,3-5 SM,Presencial
331,Medicina,2023.2,Ativo,5.21,1-3 SM,Presencial
332,Direito,2023.1,Ativo,7.21,3-5 SM,EAD
333,Engenharia,2022.2,Ativo,4.58,1-3 SM,Presencial
334,Pedagogia,2022.1,Ativo,6.7,Acima 5 SM,EAD
335,TI,2024.1,Evadido,8.54,3-5 SM,EAD
336,Direito,2023.2,Ativo,6.09,3-5 SM,EAD
337,Engenharia,2022.2,Ativo,7.99,Até 1 SM,EAD
338,TI,2022.2,Ativo,8.77,1-3 SM,Presencial
339,Pedagogia,2023.1,Evadido,9.56,Acima 5 SM,Presencial
340,TI,2023.1,Ativo,5.41,Até 1 SM,Presencial
341,Engenharia,2024.1,Formado,6.4,Até 1 SM,Presencial
342,TI,2024.1,Ativo,4.91,Acima 5 SM,Presencial
343,Medicina,2022.1,Ativo,9.95,Até 1 SM,EAD
344,TI,2022.1,Ativo,9.56,1-3 SM,Presencial
345,Direito,2024.1,Formado,7.24,1-3 SM,Presencial
346,Direito,2024.1,Ativo,9.05,3-5 SM,Presencial
347,Medicina,2023.2,Evadido,7.13,Até 1 SM,Presencial
348,Engenharia,2023.1,Ativo,7.74,3-5 SM,Presencial
349,Direito,2022.1,Ativo,4.53,Até 1 SM,EAD
350,Pedagogia,2023.1,Formado,8.53,1-3 SM,Presencial
351,Direito,2023.1,Evadido,4.77,1-3 SM,Presencial
352,Direito,2024.1,Evadido,8.96,1-3 SM,Presencial
353,Engenharia,2023.2,Formado,8.69,Até 1 SM,Presencial
354,TI,2022.2,Formado,8.25,1-3 SM,Presencial
355,Direito,2023.2,Evadido,4.22,Até 1 SM,Presencial
356,Medicina,2023.2,Formado,5.82,3-5 SM,Presencial
357,TI,2023.1,Evadido,5.58,Até 1 SM,Presencial
358,Pedagogia,2023.2,Evadido,6.16,3-5 SM,Presencial
359,Engenharia,2022.1,Evadido,4.53,Até 1 SM,Presencial
360,Pedagogia,2023.1,Evadido,9.62,3-5 SM,Presencial
361,TI,2022.1,Ativo,7.32,1-3 SM,Presencial
362,TI,2022.2,Formado,5.83,3-5 SM,Presencial
363,TI,2023.1,Formado,6.38,1-3 SM,EAD
364,Pedagogia,2022.2,Ativo,6.68,1-3 SM,Presencial
365,TI,2023.1,Formado,7.6,3-5 SM,Presencial
366,Pedagogia,2024.1,Ativo,7.09,Até 1 SM,Presencial
367,TI,2023.2,Ativo,9.52,Até 1 SM,Presencial
368,Medicina,2024.1,Evadido,6.98,Acima 5 SM,Presencial
369,TI,2022.2,Ativo,9.95,Até 1 SM,Presencial
370,Pedagogia,2023.2,Formado,9.11,Acima 5 SM,EAD
371,Direito,2023.1,Formado,5.25,Até 1 SM,Presencial
372,TI,2023.2,Ativo,9.58,Até 1 SM,Presencial
373,Direito,2022.1,Ativo,4.7,1-3 SM,Presencial
374,Medicina,2023.2,Ativo,8.9,Acima 5 SM,Presencial
375,Engenharia,2022.1,Evadido,6.28,Até 1 SM,Presencial
376,Medicina,2023.2,Trancado,9.27,Acima 5 SM,Presencial
377,TI,2022.1,Evadido,9.21,1-3 SM,EAD
378,Direito,2022.2,Ativo,8.84,1-3 SM,Presencial
379,Direito,2024.1,Evadido,8.74,Acima 5 SM,Presencial
380,Pedagogia,2023.1,Ativo,5.83,1-3 SM,EAD
381,Direito,2023.2,Evadido,4.49,3-5 SM,Presencial
382,Pedagogia,2024.1,Ativo,6.42,3-5 SM,EAD
383,Engenharia,2023.1,Evadido,5.04,1-3 SM,Presencial
384,TI,2023.1,Ativo,8.17,3-5 SM,EAD
385,Pedagogia,2022.1,Trancado,6.08,Até 1 SM,Presencial
386,Engenharia,2022.2,Ativo,9.85,Acima 5 SM,EAD
387,Direito,2022.2,Evadido,7.85,Até 1 SM,EAD
388,Direito,2024.1,Formado,8.93,Acima 5 SM,Presencial
389,Engenharia,2022.2,Ativo,4.8,1-3 SM,EAD
390,Direito,2023.2,Formado,9.17,Até 1 SM,Presencial
391,Engenharia,2022.2,Evadido,9.54,1-3 SM,Presencial
392,Pedagogia,2024.1,Ativo,6.92,1-3 SM,Presencial
393,Pedagogia,2022.2,Ativo,7.64,Acima 5 SM,Presencial
394,Engenharia,2023.2,Evadido,8.59,Acima 5 SM,Presencial
395,Pedagogia,2022.1,Ativo,5.05,Acima 5 SM,Presencial
396,Pedagogia,2024.1,Ativo,7.02,Até 1 SM,Presencial
397,Pedagogia,2022.1,Ativo,6.39,3-5 SM,EAD
398,Medicina,2022.1,Evadido,4.88,Acima 5 SM,EAD
399,TI,2022.1,Ativo,6.21,Acima 5 SM,Presencial
400,Direito,2023.1,Formado,4.41,Até 1 SM,Presencial
401,Medicina,2023.1,Trancado,4.15,Acima 5 SM,Presencial
402,Pedagogia,2022.1,Trancado,4.81,Até 1 SM,Presencial
403,Engenharia,2024.1,Evadido,9.78,1-3 SM,Presencial
404,Pedagogia,2023.2,Ativo,7.3,Acima 5 SM,Presencial
405,TI,2023.2,Evadido,9.79,Acima 5 SM,Presencial
406,Pedagogia,2022.2,Ativo,6.59,1-3 SM,EAD
407,Engenharia,2024.1,Ativo,5.87,1-3 SM,Presencial
408,TI,2023.1,Ativo,7.04,1-3 SM,Presencial
409,Pedagogia,2022.1,Ativo,6.64,Acima 5 SM,Presencial
410,TI,2022.2,Evadido,4.63,3-5 SM,Presencial
411,Direito,2023.2,Evadido,7.84,3-5 SM,Presencial
412,Direito,2023.1,Ativo,5.3,3-5 SM,Presencial
413,Pedagogia,2023.1,Ativo,7.72,Acima 5 SM,Presencial
414,TI,2022.1,Trancado,7.9,1-3 SM,Presencial
415,Engenharia,2023.2,Ativo,4.91,Acima 5 SM,EAD
416,Pedagogia,2024.1,Ativo,4.37,1-3 SM,EAD
417,Direito,2023.1,Ativo,8.68,Acima 5 SM,Presencial
418,Direito,2022.1,Evadido,6.76,Acima 5 SM,Presencial
